ensembl_gene_id	gene_symbol	entrez_gene_id	hgnc_id	gene_biotype	synonyms	chromosome	description
ENSG00000085491	SLC25A24	29957	HGNC:20662	protein_coding	APC1|DKFZp586G0123|SCAMC-1|SCAMC1	1	solute carrier family 25 member 24
ENSG00000085511	MAP3K4	4216	HGNC:6856	protein_coding	KIAA0213|MAPKKK4|MEKK4|MTK1	6	mitogen-activated protein kinase kinase kinase 4
ENSG00000085514	PILRA	29992	HGNC:20396	protein_coding	FDF03	7	paired immunoglobin like type 2 receptor alpha
ENSG00000085552	IGSF9	57549	HGNC:18132	protein_coding	IGSF9A|KIAA1355|Nrt1	1	immunoglobulin superfamily member 9
ENSG00000085563	ABCB1	5243	HGNC:40	protein_coding	ABC20|CD243|CLCS|GP170|MDR1|P-gp|PGY1|Pgp|p-170|p170	7	ATP binding cassette subfamily B member 1
ENSG00000085644	ZNF213	7760	HGNC:13005	protein_coding	CR53|ZKSCAN21|ZSCAN53	16	zinc finger protein 213
ENSG00000085662	AKR1B1	231	HGNC:381	protein_coding	ALDR1|AR	7	aldo-keto reductase family 1 member B
ENSG00000085719	CPNE3	8895	HGNC:2316	protein_coding		8	copine 3
ENSG00000085721	RRN3	54700	HGNC:30346	protein_coding	DKFZp566E104|TIF-IA|TIFIA	16	RNA polymerase I transcription factor RRN3
ENSG00000085733	CTTN	2017	HGNC:3338	protein_coding	EMS1	11	cortactin
ENSG00000085741	WNT11	7481	HGNC:12776	protein_coding		11	Wnt family member 11
ENSG00000085760	MTIF2	4528	HGNC:7441	protein_coding	IF-2mt|IF2mt	2	mitochondrial translational initiation factor 2
ENSG00000085788	DDHD2	23259	HGNC:29106	protein_coding	KIAA0725|SAMWD1|SPG54|iPLA1gamma|iPLA1γ|p125B	8	DDHD domain containing 2
